"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  1.02.068",12,1.7404,0.5259,3.9,3.31,0.2626,3.2182,0.031,"PI.413153"
"IsolateID  1.02.138",13,0.709,0.5258,3.9,1.35,-0.7689,2.1869,0.2509,"PI.413153"
"IsolateID  1.02.158",14,2.2868,0.5258,3.9,4.35,0.8088,3.7647,0.013,"PI.413153"
"IsolateID  1.02.168",15,0.6969,0.5257,3.9,1.33,-0.7812,2.175,0.2577,"PI.413153"
"IsolateID  1.02.178",16,1.7131,0.5259,3.9,3.26,0.2353,3.1909,0.0325,"PI.413153"
"IsolateID  1.02.188",17,0.0051,0.5258,3.9,0.01,-1.4727,1.4829,0.9927,"PI.413153"
"IsolateID  1.02.208",18,1.3654,0.5256,3.9,2.6,-0.1128,2.8436,0.0621,"PI.413153"
"IsolateID  1.03.028",19,0.8884,0.5257,3.9,1.69,-0.5896,2.3665,0.1686,"PI.413153"
"IsolateID  1.03.048",20,1.8717,0.5256,3.9,3.56,0.3935,3.3499,0.0249,"PI.413153"
"IsolateID  1.03.128",21,1.8793,0.5257,3.9,3.57,0.4013,3.3574,0.0245,"PI.413153"
"IsolateID  1.03.168",22,1.8432,0.5258,3.9,3.51,0.3653,3.321,0.026,"PI.413153"
"IsolateID  1.03.188",23,1.5489,0.5255,3.9,2.95,0.0706,3.0273,0.0438,"PI.413153"
"IsolateID  1.03.198",24,1.4861,0.5257,3.9,2.83,0.008,2.9642,0.0492,"PI.413153"
"IsolateID  1.03.208",25,0.1136,0.5259,3.9,0.22,-1.3641,1.5914,0.8398,"PI.413153"
"IsolateID  1.03.228",26,1.1242,0.5257,3.9,2.14,-0.3539,2.6024,0.1014,"PI.413153"
"IsolateID  1.03.238",27,1.7147,0.5256,3.9,3.26,0.2365,3.1929,0.0325,"PI.413153"
"IsolateID  1.04.018",28,1.73,0.5259,3.9,3.29,0.2523,3.2077,0.0316,"PI.413153"
"IsolateID  1.04.028",29,0.6827,0.5256,3.9,1.3,-0.7956,2.161,0.2659,"PI.413153"
"IsolateID  1.04.038",30,1.7527,0.5256,3.9,3.33,0.2745,3.2309,0.0304,"PI.413153"
"IsolateID  1.04.048",31,1.7131,0.5256,3.9,3.26,0.2349,3.1914,0.0326,"PI.413153"
"IsolateID  1.04.058",32,1.4491,0.5257,3.9,2.76,-0.029,2.9272,0.0528,"PI.413153"
"IsolateID  1.04.128",33,1.3078,0.5256,3.9,2.49,-0.1705,2.7861,0.0696,"PI.413153"
"IsolateID  1.04.158",34,1.0188,0.5257,3.9,1.94,-0.4593,2.4969,0.1269,"PI.413153"
"IsolateID  1.04.178",35,1.3787,0.5257,3.9,2.62,-0.0994,2.8568,0.0605,"PI.413153"
"IsolateID  1.04.198",36,1.2994,0.5259,3.9,2.47,-0.1784,2.7771,0.0708,"PI.413153"
"IsolateID  1.04.208",37,1.6592,0.5259,3.9,3.16,0.1815,3.137,0.0358,"PI.413153"
"IsolateID  1.04.218",38,0.869,0.526,3.9,1.65,-0.6086,2.3466,0.176,"PI.413153"
"IsolateID  1.04.258",39,1.9266,0.5257,3.9,3.66,0.4486,3.4046,0.0227,"PI.413153"
"IsolateID  1.05.118",40,1.4128,0.5256,3.9,2.69,-0.0654,2.891,0.0567,"PI.413153"
"IsolateID  1.05.148",41,1.6406,0.5258,3.9,3.12,0.1628,3.1185,0.037,"PI.413153"
"IsolateID  1.05.178",42,1.1196,0.5258,3.9,2.13,-0.3583,2.5974,0.1024,"PI.413153"
"IsolateID  1.05.228",43,1.3441,0.5257,3.9,2.56,-0.134,2.8223,0.0648,"PI.413153"
"IsolateID  1.05.248",44,1.9175,0.5257,3.9,3.65,0.4395,3.3956,0.023,"PI.413153"
"IsolateID  2.04.038",45,2.8413,0.5259,3.9,5.4,1.3635,4.3191,0.0062,"PI.413153"
"IsolateID  2.04.048",46,1.2952,0.5256,3.9,2.46,-0.1831,2.7735,0.0714,"PI.413153"
"IsolateID  2.04.088",47,2.6417,0.5256,3.9,5.03,1.1635,4.12,0.008,"PI.413153"
"IsolateID  2.04.098",48,2.1843,0.5257,3.9,4.16,0.7062,3.6625,0.0152,"PI.413153"
"IsolateID  2.04.118",49,2.4738,0.5256,3.9,4.71,0.9956,3.952,0.01,"PI.413153"
"IsolateID  2.04.128",50,2.3361,0.5257,3.9,4.44,0.858,3.8142,0.0121,"PI.413153"
"IsolateID  2.04.148",51,2.0555,0.5258,3.9,3.91,0.5777,3.5334,0.0184,"PI.413153"
"IsolateID  2.04.178",52,2.0067,0.5254,3.9,3.82,0.5281,3.4853,0.02,"PI.413153"
"IsolateID  2.04.188",53,1.7636,0.5257,3.9,3.36,0.2854,3.2418,0.0298,"PI.413153"
"IsolateID  2.04.208",54,2.4402,0.5425,4.4,4.5,0.9858,3.8945,0.0087,"PI.413153"
"IsolateID  2.04.218",55,1.799,0.5259,3.9,3.42,0.3212,3.2767,0.0281,"PI.413153"
"IsolateID  20048",56,1.2942,0.5258,3.9,2.46,-0.1837,2.7721,0.0715,"PI.413153"
"IsolateID  94.18",57,2.1389,0.5256,3.9,4.07,0.6606,3.6171,0.0162,"PI.413153"
"IsolateID  94.48",58,0.9058,0.5257,3.9,1.72,-0.5722,2.3839,0.1623,"PI.413153"
"IsolateID  Acacia8",59,1.4935,0.5258,3.9,2.84,0.0157,2.9714,0.0485,"PI.413153"
"IsolateID  Apple4048",60,2.0048,0.5256,3.9,3.81,0.5266,3.4831,0.02,"PI.413153"
"IsolateID  Apple5178",61,1.8419,0.5257,3.9,3.5,0.3637,3.32,0.0261,"PI.413153"
"IsolateID  Ausubel8",62,1.5915,0.5256,3.9,3.03,0.1131,3.0698,0.0405,"PI.413153"
"IsolateID  B05.108",63,0.5815,0.5257,3.9,1.11,-0.8967,2.0596,0.3326,"PI.413153"
"IsolateID  BMM8",64,1.2169,0.5257,3.9,2.31,-0.2612,2.695,0.0837,"PI.413153"
"IsolateID  BPA18",65,1.4205,0.5257,3.9,2.7,-0.0576,2.8985,0.0558,"PI.413153"
"IsolateID  DavisNavel8",66,0.3442,0.5258,3.9,0.65,-1.1338,1.8221,0.5495,"PI.413153"
"IsolateID  EsparatoFresa8",67,1.1258,0.5259,3.9,2.14,-0.352,2.6036,0.1011,"PI.413153"
"IsolateID  Fd18",68,1.3255,0.5256,3.9,2.52,-0.1528,2.8037,0.0672,"PI.413153"
"IsolateID  Fd28",69,2.0271,0.526,3.9,3.85,0.5495,3.5047,0.0193,"PI.413153"
"IsolateID  Fresa5258",70,1.8533,0.5259,3.9,3.52,0.3755,3.3311,0.0256,"PI.413153"
"IsolateID  FresaSD8",71,1.454,0.5257,3.9,2.77,-0.024,2.9321,0.0523,"PI.413153"
"IsolateID  Gallo18",72,0.8959,0.5256,3.9,1.7,-0.5823,2.3741,0.1658,"PI.413153"
"IsolateID  Gallo28",73,1.7003,0.5257,3.9,3.23,0.2223,3.1783,0.0333,"PI.413153"
"IsolateID  Geranium8",74,0.435,0.5257,3.9,0.83,-1.043,1.913,0.4559,"PI.413153"
"IsolateID  Grape8",75,1.1883,0.526,3.9,2.26,-0.2893,2.6659,0.0887,"PI.413153"
"IsolateID  KatieTomato8",76,1.7995,0.5259,3.9,3.42,0.3217,3.2773,0.028,"PI.413153"
"IsolateID  KernA28",77,0.828,0.526,3.9,1.57,-0.6495,2.3055,0.1926,"PI.413153"
"IsolateID  KernB18",78,1.6345,0.5256,3.9,3.11,0.1562,3.1128,0.0375,"PI.413153"
"IsolateID  KernB28",79,1.461,0.5256,3.9,2.78,-0.0173,2.9393,0.0517,"PI.413153"
"IsolateID  KGB28",80,1.6119,0.5256,3.9,3.07,0.1336,3.0902,0.039,"PI.413153"
"IsolateID  MEAP6G8",81,1.6282,0.5255,3.9,3.1,0.1498,3.1066,0.0379,"PI.413153"
"IsolateID  Mex038",82,1.4039,0.5259,3.9,2.67,-0.0739,2.8817,0.0576,"PI.413153"
"IsolateID  Molly8",83,2.1024,0.5256,3.9,4,0.6242,3.5806,0.0172,"PI.413153"
"IsolateID  Navel8",84,2.1348,0.5259,3.9,4.06,0.6571,3.6125,0.0163,"PI.413153"
"IsolateID  NobleRot8",85,0.5597,0.5255,3.9,1.07,-0.9187,2.0381,0.3487,"PI.413153"
"IsolateID  Peachy8",86,1.6866,0.5256,3.9,3.21,0.2083,3.1649,0.0342,"PI.413153"
"IsolateID  Pepper8",87,1.4132,0.5256,3.9,2.69,-0.065,2.8914,0.0566,"PI.413153"
"IsolateID  PepperSub8",88,1.2004,0.5256,3.9,2.28,-0.2779,2.6788,0.0866,"PI.413153"
"IsolateID  PhiloMenlo8",89,1.6871,0.5263,3.9,3.21,0.2101,3.1642,0.034,"PI.413153"
"IsolateID  Rasp8",90,1.7504,0.5255,3.9,3.33,0.272,3.2287,0.0306,"PI.413153"
"IsolateID  Rose8",91,0.9213,0.5256,3.9,1.75,-0.5569,2.3995,0.1568,"PI.413153"
"IsolateID  Supersteak8",92,1.5607,0.5258,3.9,2.97,0.0828,3.0386,0.0428,"PI.413153"
"IsolateID  Triple38",93,1.9704,0.5259,3.9,3.75,0.4927,3.4482,0.0211,"PI.413153"
"IsolateID  Triple78",94,0.1424,0.5257,3.9,0.27,-1.3357,1.6205,0.8003,"PI.413153"
"IsolateID  UKRazz8",95,2.1316,0.5258,3.9,4.05,0.6536,3.6096,0.0164,"PI.413153"
"IsolateID  1.01.019",1,1.8981,0.2939,152.8,6.46,1.3175,2.4788,0,"PI.413153"
"IsolateID  1.01.029",2,1.3651,0.2941,153,4.64,0.7841,1.946,0,"PI.413153"
"IsolateID  1.01.039",3,2.2212,0.2945,153.8,7.54,1.6394,2.803,0,"PI.413153"
"IsolateID  1.01.049",4,2.0506,0.2945,153.7,6.96,1.4688,2.6323,0,"PI.413153"
"IsolateID  1.01.069",5,1.4098,0.2941,153,4.79,0.8288,1.9907,0,"PI.413153"
"IsolateID  1.01.159",6,1.9068,0.3212,191.6,5.94,1.2732,2.5404,0,"PI.413153"
"IsolateID  1.02.019",7,1.5556,0.2939,152.8,5.29,0.9749,2.1363,0,"PI.413153"
"IsolateID  1.02.029",8,1.3953,0.2941,153,4.74,0.8144,1.9763,0,"PI.413153"
"IsolateID  1.02.039",9,1.4415,0.2941,153.1,4.9,0.8605,2.0225,0,"PI.413153"
"IsolateID  1.02.049",10,2.079,0.2943,153.4,7.06,1.4976,2.6604,0,"PI.413153"
"IsolateID  1.02.059",11,1.1652,0.294,152.9,3.96,0.5843,1.746,1e-04,"PI.413153"
"IsolateID  1.02.069",12,1.8518,0.2944,153.6,6.29,1.2703,2.4334,0,"PI.413153"
"IsolateID  1.02.139",13,0.6469,0.2942,153.3,2.2,0.0657,1.2282,0.0294,"PI.413153"
"IsolateID  1.02.159",14,1.7038,0.2942,153.3,5.79,1.1226,2.2851,0,"PI.413153"
"IsolateID  1.02.169",15,0.7267,0.2941,153.1,2.47,0.1457,1.3078,0.0146,"PI.413153"
"IsolateID  1.02.179",16,1.4943,0.2943,153.4,5.08,0.9128,2.0757,0,"PI.413153"
"IsolateID  1.02.189",17,0.1117,0.2944,153.6,0.38,-0.4699,0.6933,0.7048,"PI.413153"
"IsolateID  1.02.209",18,1.6895,0.294,153,5.75,1.1086,2.2704,0,"PI.413153"
"IsolateID  1.03.029",19,1.3641,0.2942,153.3,4.64,0.7828,1.9453,0,"PI.413153"
"IsolateID  1.03.049",20,1.9038,0.294,152.9,6.48,1.323,2.4847,0,"PI.413153"
"IsolateID  1.03.129",21,1.3365,0.2942,153.2,4.54,0.7554,1.9177,0,"PI.413153"
"IsolateID  1.03.169",22,1.0097,0.2944,153.6,3.43,0.4281,1.5912,8e-04,"PI.413153"
"IsolateID  1.03.189",23,1.9206,0.2939,152.7,6.54,1.34,2.5012,0,"PI.413153"
"IsolateID  1.03.199",24,1.5926,0.294,153,5.42,1.0117,2.1735,0,"PI.413153"
"IsolateID  1.03.209",25,-0.0626,0.2944,153.7,-0.21,-0.6443,0.5191,0.8319,"PI.413153"
"IsolateID  1.03.229",26,1.3298,0.2941,153.1,4.52,0.7488,1.9108,0,"PI.413153"
"IsolateID  1.03.239",27,1.0102,0.294,152.8,3.44,0.4295,1.5909,8e-04,"PI.413153"
"IsolateID  1.04.019",28,1.7061,0.2943,153.5,5.8,1.1247,2.2876,0,"PI.413153"
"IsolateID  1.04.029",29,0.5999,0.2939,152.8,2.04,0.0192,1.1806,0.043,"PI.413153"
"IsolateID  1.04.039",30,1.7837,0.2941,153.2,6.06,1.2026,2.3648,0,"PI.413153"
"IsolateID  1.04.049",31,1.7707,0.2938,152.7,6.03,1.1901,2.3512,0,"PI.413153"
"IsolateID  1.04.059",32,1.6099,0.2941,153.2,5.47,1.0287,2.191,0,"PI.413153"
"IsolateID  1.04.129",33,1.5205,0.2938,152.6,5.18,0.94,2.1009,0,"PI.413153"
"IsolateID  1.04.159",34,1.1506,0.2942,153.3,3.91,0.5694,1.7319,1e-04,"PI.413153"
"IsolateID  1.04.179",35,1.2357,0.2941,153.1,4.2,0.6546,1.8167,0,"PI.413153"
"IsolateID  1.04.199",36,1.8453,0.2944,153.6,6.27,1.2637,2.4269,0,"PI.413153"
"IsolateID  1.04.209",37,1.2496,0.2945,153.8,4.24,0.6678,1.8314,0,"PI.413153"
"IsolateID  1.04.219",38,1.1163,0.2947,154.1,3.79,0.5342,1.6984,2e-04,"PI.413153"
"IsolateID  1.04.259",39,1.4435,0.2941,153.1,4.91,0.8625,2.0246,0,"PI.413153"
"IsolateID  1.05.119",40,1.1632,0.2939,152.7,3.96,0.5826,1.7438,1e-04,"PI.413153"
"IsolateID  1.05.149",41,1.2293,0.2943,153.5,4.18,0.6478,1.8107,0,"PI.413153"
"IsolateID  1.05.179",42,0.9995,0.2943,153.4,3.4,0.4181,1.5809,9e-04,"PI.413153"
"IsolateID  1.05.229",43,1.7758,0.294,152.9,6.04,1.195,2.3566,0,"PI.413153"
"IsolateID  1.05.249",44,1.4198,0.2943,153.5,4.82,0.8383,2.0013,0,"PI.413153"
"IsolateID  2.04.039",45,1.9364,0.2945,153.7,6.58,1.3547,2.5181,0,"PI.413153"
"IsolateID  2.04.049",46,2.0922,0.2938,152.5,7.12,1.5118,2.6726,0,"PI.413153"
"IsolateID  2.04.089",47,2.1585,0.2939,152.8,7.34,1.5778,2.7392,0,"PI.413153"
"IsolateID  2.04.099",48,2.7888,0.294,153,9.48,2.2079,3.3697,0,"PI.413153"
"IsolateID  2.04.119",49,1.2479,0.2941,153,4.24,0.667,1.8289,0,"PI.413153"
"IsolateID  2.04.129",50,1.6593,0.2942,153.2,5.64,1.0782,2.2405,0,"PI.413153"
"IsolateID  2.04.149",51,1.4905,0.2944,153.6,5.06,0.909,2.0721,0,"PI.413153"
"IsolateID  2.04.179",52,1.4282,0.2938,152.5,4.86,0.8478,2.0087,0,"PI.413153"
"IsolateID  2.04.189",53,1.8324,0.294,153,6.23,1.2514,2.4133,0,"PI.413153"
"IsolateID  2.04.209",54,1.9888,0.3209,191,6.2,1.3558,2.6219,0,"PI.413153"
"IsolateID  2.04.219",55,1.0262,0.2946,153.9,3.48,0.4442,1.6081,6e-04,"PI.413153"
